State,FIPS,Adult obesity
IA,19021,0.274
IA,19021,0.299
IA,19023,0.272
IA,19023,0.279
IA,19025,0.304
IA,19025,0.305
IA,19027,0.317
IA,19027,0.3
IA,19029,0.354
IA,19029,0.319
IA,19031,0.354
IA,19031,0.32
IA,19033,0.294
IA,19033,0.297
IA,19035,0.277
IA,19035,0.334
IA,19037,0.306
IA,19037,0.303
IA,19039,0.313
IA,19039,0.287
IA,19041,0.296
IA,19041,0.285
IA,19043,0.308
IA,19043,0.31
IA,19045,0.3
IA,19045,0.302
IA,19047,0.288
IA,19047,0.301
IA,19049,0.294
IA,19049,0.306
IA,19051,0.32
IA,19051,0.308
IA,19053,0.309
IA,19053,0.301
IA,19055,0.345
IA,19055,0.373
IA,19057,0.323
IA,19057,0.323
IA,19059,0.285
IA,19059,0.31
IA,19061,0.272
IA,19061,0.286
IA,19063,0.321
IA,19063,0.323
IA,19065,0.349
IA,19065,0.401
IA,19067,0.31
IA,19067,0.331
IA,19069,0.31
IA,19069,0.314
IA,19071,0.333
IA,19071,0.332
IA,19073,0.295
IA,19073,0.291
IA,19075,0.317
IA,19075,0.306
IA,19077,0.328
IA,19077,0.352
IA,19079,0.317
IA,19079,0.282
IA,19081,0.261
IA,19081,0.312
IA,19083,0.338
IA,19083,0.344
IA,19085,0.316
IA,19085,0.296
IA,19087,0.31
IA,19087,0.337
IA,19089,0.298
IA,19089,0.313
IA,19091,0.336
IA,19091,0.345
IA,19093,0.309
IA,19093,0.304
IA,19095,0.291
IA,19095,0.308
IA,19097,0.307
IA,19097,0.311
IA,19099,0.351
IA,19099,0.339
IA,19101,0.302
IA,19101,0.278
IA,19103,0.24
IA,19103,0.235
IA,19105,0.285
IA,19105,0.306
IA,19107,0.336
IA,19107,0.313
IA,19109,0.311
IA,19109,0.315
IA,19111,0.353
IA,19111,0.361
IA,19113,0.279
IA,19113,0.279
IA,19115,0.326
IA,19115,0.321
IA,19117,0.319
IA,19117,0.305
IA,19119,0.3
IA,19119,0.318
IA,19121,0.308
IA,19121,0.331
IA,19123,0.272
IA,19123,0.287
IA,19125,0.298
IA,19125,0.3
IA,19127,0.32
IA,19127,0.324
IA,19129,0.283
IA,19129,0.29
IA,19131,0.274
IA,19131,0.281
IA,19133,0.274
IA,19133,0.293
IA,19135,0.338
IA,19135,0.342
IA,19137,0.322
IA,19137,0.324
IA,19139,0.34
IA,19139,0.36
IA,19141,0.305
IA,19141,0.287
IA,19143,0.298
IA,19143,0.29
IA,19145,0.322
IA,19145,0.33
IA,19147,0.283
IA,19147,0.293
IA,19149,0.334
IA,19149,0.318
IA,19151,0.301
IA,19151,0.31
IA,19153,0.282
IA,19153,0.282
IA,19155,0.336
IA,19155,0.35
IA,19157,0.294
IA,19157,0.294
IA,19159,0.3
IA,19159,0.318
IA,19161,0.292
IA,19161,0.29
IA,19163,0.285
IA,19163,0.31
IA,19165,0.319
IA,19165,0.299
IA,19167,0.274
IA,19167,0.267
IA,19169,0.251
IA,19169,0.254
IA,19171,0.289
IA,19171,0.319
IA,19173,0.312
IA,19173,0.304
IA,19175,0.331
IA,19175,0.346
IA,19177,0.302
IA,19177,0.306
IA,19179,0.304
IA,19179,0.312
IA,19181,0.31
IA,19181,0.287
IA,19183,0.304
IA,19183,0.3
IA,19185,0.314
IA,19185,0.321
IA,19187,0.287
IA,19187,0.278
IA,19189,0.287
IA,19189,0.325
IA,19191,0.261
IA,19191,0.252
IA,19193,0.31
IA,19193,0.316
IA,19195,0.297
IA,19195,0.303
IA,19197,0.293
IA,19197,0.333
ID,16001,0.235
ID,16001,0.244
ID,16003,0.273
ID,16003,0.285
ID,16005,0.292
ID,16005,0.29
ID,16007,0.266
ID,16007,0.285
ID,16009,0.266
ID,16009,0.273
ID,16011,0.337
ID,16011,0.347
ID,16013,0.184
ID,16013,0.187
ID,16015,0.258
ID,16015,0.244
ID,16017,0.237
ID,16017,0.24
ID,16019,0.284
ID,16019,0.295
ID,16021,0.256
ID,16021,0.251
ID,16023,0.3
ID,16023,0.318
ID,16027,0.3
ID,16027,0.307
ID,16029,0.247
ID,16029,0.268
ID,16031,0.308
ID,16031,0.299
ID,16035,0.316
ID,16035,0.337
ID,16037,0.269
ID,16037,0.268
ID,16039,0.295
ID,16039,0.294
ID,16041,0.282
ID,16041,0.28
ID,16043,0.237
ID,16043,0.266
ID,16045,0.298
ID,16045,0.291
ID,16047,0.308
ID,16047,0.319
ID,16049,0.281
ID,16049,0.273
ID,16051,0.275
ID,16051,0.279
ID,16053,0.323
ID,16053,0.319
ID,16055,0.241
ID,16055,0.246
ID,16057,0.248
ID,16057,0.266
ID,16059,0.217
ID,16059,0.233
ID,16061,0.293
ID,16061,0.299
ID,16063,0.257
ID,16063,0.292
ID,16065,0.26
ID,16065,0.259
ID,16067,0.301
ID,16067,0.317
ID,16069,0.322
ID,16069,0.323
ID,16071,0.317
ID,16071,0.337
ID,16073,0.301
ID,16073,0.314
ID,16075,0.275
ID,16075,0.29
ID,16077,0.299
ID,16077,0.31
ID,16079,0.304
ID,16079,0.301
ID,16081,0.255
ID,16081,0.253
ID,16083,0.253
ID,16083,0.26
ID,16085,0.258
ID,16085,0.233
ID,16087,0.289
ID,16087,0.299
IL,17001,0.303
IL,17001,0.351
IL,17003,0.327
IL,17003,0.329
IL,17005,0.289
IL,17005,0.279
IL,17007,0.306
IL,17007,0.306
IL,17009,0.3
IL,17009,0.305
IL,17011,0.31
IL,17011,0.308
IL,17013,0.295
IL,17013,0.304
IL,17015,0.305
IL,17015,0.307
IL,17017,0.303
IL,17017,0.285
IL,17019,0.274
IL,17019,0.27
IL,17021,0.322
IL,17021,0.327
IL,17023,0.311
IL,17023,0.321
IL,17025,0.296
IL,17025,0.314
IL,17027,0.28
IL,17027,0.278
IL,17029,0.294
IL,17029,0.282
IL,17031,0.262
IL,17031,0.252
IL,17033,0.326
